Name,G,Tackles,INT,PBUs,FF,FR
Denzel Ward,39,67,2,24,0,0
Jaire Alexander,31,77,7,27,0,0
Mike Hughes,26,101,5,12,3,1
Isaiah Oliver,44,120,4,25,0,0
Josh Jackson,41,118,8,26,1,1
J.C. Jackson,26,51,3,8,0,0
Donte Jackson,38,110,4,28,2,1
Duke Dawson,46,122,9,26,1,0
M.J. Stewart,46,199,12,41,3,1
Carlton Davis,33,83,1,26,0,0
Holton Hill,37,93,3,21,1,0
Avonte Maddox,52,270,8,34,5,3
Darius Phillips,50,233,12,41,5,3
Parry Nickerson,45,163,16,54,1,1
Tarvarus McFadden,33,80,8,20,1,1
Tremon Smith,48,110,6,14,2,1
Greg Stroman,49,146,11,34,2,2
Levi Wallace,45,98,4,12,1,0
Nick Nelson,25,52,1,6,0,0
Chris Campbell,50,150,3,30,1,1
Brandon Facyson,41,132,4,30,1,1
Tony Brown,44,120,3,22,1,1
Jamar Summers,39,125,8,26,2,1
