Name,G,Rush Att,Rush Yds,Rush TD,YPC,Rec,Rec Yds,Rec TD
Saquon Barkley,38,671,3843,43,5.7,102,1195,8
Rashaad Penny,54,632,3729,42,5.9,42,479,5
Sony Michel,47,590,3613,33,6.1,64,621,6
Nick Chubb,52,758,4769,44,6.3,31,361,4
Ronald Jones II,39,591,3619,39,6.1,32,302,1
Kerryon Johnson,35,529,2494,32,4.7,54,478,2
Derrius Guice,32,471,3074,29,6.5,32,263,2
Royce Freeman,54,947,5621,60,5.9,79,814,4
Nyheim Hines,35,529,2959,26,5.6,89,933,12
Mark Walton,34,418,2006,28,4.8,51,492,2
Kalen Ballage,48,669,1984,25,3,82,1042,6
Chase Edmonds,45,743,4862,64,6.5,86,758,7
Bo Scarbrough,36,377,2255,20,6,17,109,0
Justin Jackson,47,1127,5440,42,4.8,79,648,2
Ito Smith,50,720,4360,42,6.1,85,713,4
Akrum Wadley,52,590,2872,26,4.9,94,732,10
Jordan Wilkins,43,666,2676,20,4,41,371,0
John Kelly,34,556,2428,19,4.4,50,438,2
Roc Thomas,27,307,1772,14,5.8,39,389,1
Nick Holley,46,186,1192,11,6.4,60,493,3
