Name,G,Rec,Yds,TD,Y/R
Hayden Hurst,26,92,1175,3,12.8
Mike Gesicki,51,129,1481,15,11.5
Dallas Goedert,49,198,2988,21,15.1
Durham Smythe,38,28,381,1,13.6
Mark Andrews,41,112,1765,22,15.8
Jordan Akins,38,76,1074,7,14.1
Chris Herndon,34,40,477,4,11.9
Tyler Conklin,45,77,1041,11,13.5
Will Dissly,51,44,693,3,15.8
Troy Fumagalli,51,135,1627,7,12.1
Ian Thomas,26,41,568,8,13.9
Jordan Thomas,50,58,763,20,13.2
Ryan Izzo,46,54,553,6,10.2
David Wells,36,70,854,9,12.2
Dalton Schultz,42,55,555,5,10.1
