Name,Position,College,Conference,Height,Weight,Age,40-Yard,Vertical,Bench,Broad Jump,3-Cone,20 Y Shuttle,Throwing Velocity (mph),Std. Throwing Score
Baker Mayfield,QB,Oklahoma,BIG 12,6-1,215,23,4.84,29,N/A,111,7,4.28,60,0.9
Saquon Barkley,RB,Penn State,Big 10,6-0,233,21,4.4,41,29,132,4.24,4.24,N/A,N/A
Sam Darnold,QB,USC,PAC 12,6-3,221,21,4.85,26.5,N/A,105,6.96,4.4,59,0.84
Denzel Ward,CB,Ohio State,Big 10,5-10,183,21,4.32,39,16,136,6.65,4.08,N/A,N/A
Bradley Chubb,DE,NC State,ACC,6-4,269,22,4.65,36,24,121,7.37,4.41,N/A,N/A
Quenton Nelson,G,Notre Dame,Independent,6-5,325,22,5.1,26.5,35,105,7.65,4.62,N/A,N/A
Josh Allen,QB,Wyoming,Mountain West,6-5,237,22,4.75,33.5,N/A,119,6.9,4.4,62,1
Roquan Smith,ILB,Georgia,SEC,6-1,236,21,4.51,36.5,20,124,6.89,4.18,N/A,N/A
Mike McGlinchey,T,Notre Dame,Independent,6-8,309,24,5.11,28.5,24,105,7.72,4.78,N/A,N/A
Josh Rosen,QB,UCLA,PAC 12,6-4,226,21,4.92,31,N/A,111,7.09,4.28,58,0.85
Minkah Fitzpatrick,S,Alabama,SEC,6-1,201,21,4.46,33,14,121,6.97,4.15,N/A,N/A
Vita Vea,DT,Washington,PAC 12,6-4,347,23,5.1,28.5,41,110,7.86,4.9,N/A,N/A
Daron Payne,DT,Alabama,SEC,6-2,311,21,4.95,28.5,27,107,7.58,4.71,N/A,N/A
Marcus Davenport,DE,UTSA,C-USA,6-6,264,22,4.58,33.5,22,124,7.2,4.41,N/A,N/A
Kolton Miller,T,UCLA,PAC 12,6-9,309,23,4.95,31.5,24,121,7.34,4.49,N/A,N/A
Tremaine Edmunds,ILB,Virginia Tech,ACC,6-5,253,20,4.54,38,19,117,7.02,4.42,N/A,N/A
Derwin James,S,Florida State,ACC,6-3,215,22,4.47,40,21,132,6.77,4.3,N/A,N/A
